ano;qtd_itens;valor_total_nominal;valor_medio_nominal;valor_total_real;valor_medio_real;ipca_percentual;indiceAcumulado
2015;14118;147584110.38;10453.61;147584110.38;10453.61;10.67;1.0
2016;11658;104650107.76;8976.68;98457153.21;8445.46;6.29;1.0629
2017;11696;383215864.87;32764.69;350192694.18;29941.24;2.95;1.0943
2018;14677;188594748.3;12849.68;166118866.54;11318.31;3.75;1.1353
2019;9956;327944141.56;32939.35;276933068.91;27815.7;4.31;1.1842
2020;12147;212195097.63;17468.93;171443078.54;14114.03;4.52;1.2377
2021;15445;589412732.21;38162.04;432691773.93;28015.01;10.06;1.3622
2022;4731;328597191.74;69456.18;228018313.14;48196.64;5.79;1.4411
2023;8503;412751995.33;48541.93;273762681.06;32196.01;4.62;1.5077
2024;4727;403623123.0;85386.74;255360701.38;54021.73;4.83;1.5806
2025;3017;245259424.6;81292.48;148831497.03;49330.96;4.26;1.6479
