numero;variavel;correlacao_r;p_valor;significativa;bem_correlacionada;forca;direcao
1;valorUnitarioVencedor;0.5378;0.0;Sim ✅;Sim ✅;Moderada;Positiva
2;quantidade;0.0518;0.0;Sim ✅;Não ❌;Fraca;Positiva
3;valorUnitarioReferencia;0.5141;0.0;Sim ✅;Sim ✅;Moderada;Positiva
4;valorEstimado;0.0724;0.0;Sim ✅;Não ❌;Fraca;Positiva
5;valorHomologado;0.2538;0.0;Sim ✅;Não ❌;Fraca;Positiva
6;ano;0.0275;0.0;Sim ✅;Não ❌;Fraca;Positiva
7;mes;0.0025;0.3994;Não ❌;Não ❌;Fraca;Positiva
8;ipca_decimal;-0.0053;0.0805;Não ❌;Não ❌;Fraca;Negativa
9;ipca_percentual;-0.0053;0.0805;Não ❌;Não ❌;Fraca;Negativa
10;indiceAcumulado;0.0288;0.0;Sim ✅;Não ❌;Fraca;Positiva
11;valorTotalVencedorReal;0.9916;0.0;Sim ✅;Sim ✅;Forte;Positiva
12;valorTotalReferencia;0.823;0.0;Sim ✅;Sim ✅;Forte;Positiva
13;indiceDesconto;-0.0005;0.8993;Não ❌;Não ❌;Fraca;Negativa
14;desvioUnitario;-0.1076;0.0;Sim ✅;Não ❌;Fraca;Negativa
15;desvioUnitarioPerc;-0.0003;0.9183;Não ❌;Não ❌;Fraca;Negativa
16;economiaTotal;0.0739;0.0;Sim ✅;Não ❌;Fraca;Positiva
17;economiaTotalPerc;0.0003;0.9183;Não ❌;Não ❌;Fraca;Positiva
18;logValorTotalVencedor;0.1503;0.0;Sim ✅;Não ❌;Fraca;Positiva
19;logQuantidade;0.029;0.0;Sim ✅;Não ❌;Fraca;Positiva
20;logValorUnitarioVencedor;0.1183;0.0;Sim ✅;Não ❌;Fraca;Positiva
21;logValorUnitarioRef;0.111;0.0;Sim ✅;Não ❌;Fraca;Positiva
22;trimestre;0.002;0.5049;Não ❌;Não ❌;Fraca;Positiva
23;diaDoAno;0.0023;0.4466;Não ❌;Não ❌;Fraca;Positiva
24;quantidadeXipca;0.052;0.0;Sim ✅;Não ❌;Fraca;Positiva
25;valorRefXipca;0.4882;0.0;Sim ✅;Sim ✅;Moderada;Positiva
26;valorUnitario_x_qtd;0.9956;0.0;Sim ✅;Sim ✅;Forte;Positiva
27;valorTotalReferenciaReal;0.8816;0.0;Sim ✅;Sim ✅;Forte;Positiva
28;logValorTotalReferencia;0.1458;0.0;Sim ✅;Não ❌;Fraca;Positiva
29;valorUnitarioCorrigido;0.5324;0.0;Sim ✅;Sim ✅;Moderada;Positiva
30;valorRefCorrigido;0.5003;0.0;Sim ✅;Sim ✅;Moderada;Positiva
31;unitVencedor_x_indice;0.5324;0.0;Sim ✅;Sim ✅;Moderada;Positiva
32;unitRef_x_indice;0.5003;0.0;Sim ✅;Sim ✅;Moderada;Positiva
33;qtd_x_unitRef;0.8239;0.0;Sim ✅;Sim ✅;Forte;Positiva
34;qtd_x_unitCorrigido;0.9829;0.0;Sim ✅;Sim ✅;Forte;Positiva
35;logValorUnitarioCorrigido;0.1186;0.0;Sim ✅;Não ❌;Fraca;Positiva
36;log_qtd_x_unitRef;0.1468;0.0;Sim ✅;Não ❌;Fraca;Positiva
37;razaoVencedorCorrigido;-0.0277;0.0;Sim ✅;Não ❌;Fraca;Negativa
38;valorEstimado_x_indice;0.0638;0.0;Sim ✅;Não ❌;Fraca;Positiva
39;sqrtValorTotalVencedor;0.7031;0.0;Sim ✅;Sim ✅;Forte;Positiva
40;unitVencedor_x_qtd_real;0.9889;0.0;Sim ✅;Sim ✅;Forte;Positiva
41;valorRef_x_qtd;0.8239;0.0;Sim ✅;Sim ✅;Forte;Positiva
42;valorRef_x_qtd_real;0.8823;0.0;Sim ✅;Sim ✅;Forte;Positiva
43;economiaUnitaria;0.1076;0.0;Sim ✅;Não ❌;Fraca;Positiva
44;economiaUnitaria_x_qtd;0.0726;0.0;Sim ✅;Não ❌;Fraca;Positiva
45;valorUnit_sobre_ref;-0.0003;0.9183;Não ❌;Não ❌;Fraca;Negativa
46;valorTotal_x_ipca;0.8682;0.0;Sim ✅;Sim ✅;Forte;Positiva
47;valorTotal_squared;0.8017;0.0;Sim ✅;Sim ✅;Forte;Positiva
48;valorUnitReal_x_qtd_ipca;0.9904;0.0;Sim ✅;Sim ✅;Forte;Positiva
