ano;confianca_pct;n_amostral;estimativa_pontual;metodo;valor_critico;erro_padrao;fpc_aplicado;fpc_valor;margem_erro;ic_inferior;ic_superior;amplitude_ic
TOTAL;90;110407;30286.3816;normal (z);1.644854;1960.1473;Não;1.0;3224.1554;27062.2262;33510.5371;6448.3109
TOTAL;95;110407;30286.3816;normal (z);1.959964;1960.1473;Não;1.0;3841.8182;26444.5635;34128.1998;7683.6363
TOTAL;99;110407;30286.3816;normal (z);2.575829;1960.1473;Não;1.0;5049.0049;25237.3767;35335.3866;10098.0099
2015;90;14117;10454.3536;normal (z);1.644854;1715.0931;Sim;0.933887;2821.077;7633.2766;13275.4307;5642.1541
2015;95;14117;10454.3536;normal (z);1.959964;1715.0931;Sim;0.933887;3361.5206;7092.833;13815.8743;6723.0413
2015;99;14117;10454.3536;normal (z);2.575829;1715.0931;Sim;0.933887;4417.787;6036.5667;14872.1406;8835.5739
2016;90;11658;8976.6776;normal (z);1.644854;1455.437;Sim;0.945736;2393.9809;6582.6967;11370.6585;4787.9618
2016;95;11658;8976.6776;normal (z);1.959964;1455.437;Sim;0.945736;2852.6042;6124.0735;11829.2818;5705.2083
2016;99;11658;8976.6776;normal (z);2.575829;1455.437;Sim;0.945736;3748.9574;5227.7203;12725.635;7497.9147
2017;90;11657;32874.3128;normal (z);1.644854;13121.1985;Sim;0.945741;21582.4509;11291.862;54456.7637;43164.9017
2017;95;11657;32874.3128;normal (z);1.959964;13121.1985;Sim;0.945741;25717.0764;7157.2364;58591.3893;51434.1529
2017;99;11657;32874.3128;normal (z);2.575829;13121.1985;Sim;0.945741;33797.9675;0.0;66672.2804;66672.2804
2018;90;14673;12853.1826;normal (z);1.644854;1083.1747;Sim;0.931187;1781.6638;11071.5188;14634.8464;3563.3276
2018;95;14673;12853.1826;normal (z);1.959964;1083.1747;Sim;0.931187;2122.9833;10730.1993;14976.1659;4245.9666
2018;99;14673;12853.1826;normal (z);2.575829;1083.1747;Sim;0.931187;2790.073;10063.1096;15643.2556;5580.146
2019;90;9956;32939.3473;normal (z);1.644854;4563.5172;Sim;0.953852;7506.3179;25433.0294;40445.6651;15012.6357
2019;95;9956;32939.3473;normal (z);1.959964;4563.5172;Sim;0.953852;8944.3294;23995.0179;41883.6767;17888.6588
2019;99;9956;32939.3473;normal (z);2.575829;4563.5172;Sim;0.953852;11754.8414;21184.5059;44694.1887;23509.6828
2020;90;12023;17649.0974;normal (z);1.644854;1928.7981;Sim;0.943987;3172.5906;14476.5068;20821.688;6345.1812
2020;95;12023;17649.0974;normal (z);1.959964;1928.7981;Sim;0.943987;3780.3749;13868.7225;21429.4722;7560.7497
2020;99;12023;17649.0974;normal (z);2.575829;1928.7981;Sim;0.943987;4968.2548;12680.8426;22617.3521;9936.5095
2021;90;15345;38410.7352;normal (z);1.644854;5603.3331;Sim;0.927913;9216.6628;29194.0724;47627.3981;18433.3257
2021;95;15345;38410.7352;normal (z);1.959964;5603.3331;Sim;0.927913;10982.3312;27428.4041;49393.0664;21964.6623
2021;99;15345;38410.7352;normal (z);2.575829;5603.3331;Sim;0.927913;14433.2297;23977.5055;52843.965;28866.4595
2022;90;4731;69456.1809;normal (z);1.644854;9339.7361;Não;1.0;15362.4987;54093.6821;84818.6796;30724.9975
2022;95;4731;69456.1809;normal (z);1.959964;9339.7361;Não;1.0;18305.5463;51150.6346;87761.7272;36611.0926
2022;99;4731;69456.1809;normal (z);2.575829;9339.7361;Não;1.0;24057.5658;45398.6151;93513.7467;48115.1316
2023;90;8503;48541.9258;normal (z);1.644854;4478.5065;Sim;0.960725;7366.4877;41175.4381;55908.4135;14732.9754
2023;95;8503;48541.9258;normal (z);1.959964;4478.5065;Sim;0.960725;8777.7115;39764.2143;57319.6373;17555.423
2023;99;8503;48541.9258;normal (z);2.575829;4478.5065;Sim;0.960725;11535.8683;37006.0575;60077.7942;23071.7367
2024;90;4727;85386.7406;normal (z);1.644854;11831.8176;Não;1.0;19461.6081;65925.1325;104848.3488;38923.2163
2024;95;4727;85386.7406;normal (z);1.959964;11831.8176;Não;1.0;23189.9364;62196.8042;108576.6771;46379.8729
2024;99;4727;85386.7406;normal (z);2.575829;11831.8176;Não;1.0;30476.7426;54909.9981;115863.4832;60953.4851
2025;90;3017;81292.4841;normal (z);1.644854;11656.3239;Não;1.0;19172.9467;62119.5374;100465.4308;38345.8934
2025;95;3017;81292.4841;normal (z);1.959964;11656.3239;Não;1.0;22845.9751;58446.509;104138.4592;45691.9502
2025;99;3017;81292.4841;normal (z);2.575829;11656.3239;Não;1.0;30024.7008;51267.7834;111317.1849;60049.4015
