ano;n_amostral;estimativa_pontual_media;estimativa_pontual_mediana;desvio_padrao;coef_variacao_pct;observacao
TOTAL;110407;30286.3816;899.79;651308.9089;2150.5;Média amostral como estimador pontual de µ
2015;14117;10454.3536;400.0;218204.9721;2087.22;normal (z)
2016;11658;8976.6776;564.64;166163.4231;1851.06;normal (z)
2017;11657;32874.3128;900.0;1497940.9329;4556.57;normal (z)
2018;14673;12853.1826;656.0;140903.3063;1096.25;normal (z)
2019;9956;32939.3473;1020.0;477376.8381;1449.26;normal (z)
2020;12023;17649.0974;752.0;224040.8964;1269.42;normal (z)
2021;15345;38410.7352;670.34;748036.4404;1947.47;normal (z)
2022;4731;69456.1809;2661.6;642408.202;924.91;normal (z)
2023;8503;48541.9258;3482.59;429853.0596;885.53;normal (z)
2024;4727;85386.7406;3748.0;813475.1078;952.69;normal (z)
2025;3017;81292.4841;5982.91;640249.5224;787.59;normal (z)
