ano;qtd_licitacoes;desconto_mediano_pct;desconto_min_pct;desconto_max_pct;total_estimado;total_homologado;desconto_medio_pct;economia_total
2015;282;4.26;-1189900.0;93.64;111389229.47999999;84792701.79;23.88;26596527.69
2016;232;4.7;-31.77;97.78;57069917.6;45474413.550000004;20.32;11595504.05
2017;216;3.72;-17053.48;98.31;347857653.28;330974610.55;4.85;16883042.73
2018;382;4.86;-1999900.0;100.0;176297798.74;125320395.85;28.92;50977402.89
2019;468;8.07;-1926878.57;100.0;347145738.45;297145769.52;14.4;49999968.93
2020;325;11.3;-119.39;99.99;188247774.44;133147906.22;29.27;55099868.22
2021;356;11.16;-34279900.0;100.0;485840505.07;399455023.51;17.78;86385481.56
2022;203;6.12;-796.63;100.0;273186248.23;227947850.63;16.56;45238397.6
2023;308;13.08;-154.6;79.26;536640727.73;366548610.53;31.7;170092117.2
2024;253;8.1;-100.0;99.9;1603996152.22;393588123.0;75.46;1210408029.22
2025;232;5.32;-4.0;90.0;348154106.24;243713676.6;30.0;104440429.64
