descricao;ano_inicial;ano_final;anos_distintos;preco_inicial;preco_final;variacao_nominal_pct;ipca_periodo_pct;variacao_real_pct;diagnostico
"SACO PLÁSTICO TRANSPARENTE NA MEDIDA 40X50CM;";2015;2024;3;0.11;248.0;225354.55;58.06;142536.36;⚠️ Pressão de demanda — subiu acima do IPCA
MAO DE OBRA;2015;2020;5;71.75;27900.0;38785.02;23.77;31317.16;⚠️ Pressão de demanda — subiu acima do IPCA
SACO PLÁSTICO TRANSPARENTE NA MEDIDA 60X80CM;2015;2024;5;0.34;88.0;25789.97;58.06;16276.47;⚠️ Pressão de demanda — subiu acima do IPCA
PLUG ROSCAVEL 1/2 PVC;2015;2021;6;0.43;93.0;21527.91;36.22;15776.74;⚠️ Pressão de demanda — subiu acima do IPCA
PRESERVATIVOS MASCULINOS DE 52 MM, SEM LUBRIFICANTE;2021;2024;3;0.3;46.8;15710.81;16.03;13359.09;⚠️ Pressão de demanda — subiu acima do IPCA
POTE TIPO MARMITEX TÉRMICO ISOPOR COM TAMPA;2020;2023;4;0.46;73.0;15769.57;21.81;12986.49;⚠️ Pressão de demanda — subiu acima do IPCA
AGULHAS HIPODÉRMICAS 20MMX5,5MM;2015;2021;5;0.05;8.75;16270.44;36.22;11572.73;⚠️ Pressão de demanda — subiu acima do IPCA
CARTOLINA TAMANHO OFÍCIO.;2018;2024;5;0.09;12.58;13877.78;39.22;9850.0;⚠️ Pressão de demanda — subiu acima do IPCA
CONFECÇÃO DE CONVITE 4X4 PAPEL ADESIVO GROSSO;2020;2024;3;0.03;2.03;7418.52;27.7;6300.0;⚠️ Pressão de demanda — subiu acima do IPCA
AGULHAS HIPODÉRMICAS 13MMX4,5MM;2015;2024;6;0.05;4.99;10317.54;58.06;6220.0;⚠️ Pressão de demanda — subiu acima do IPCA
LEVONORGESTREL 0,15MG + ETINILESTRADIOL 0,03MG;2015;2023;3;0.02;1.69;7581.82;50.77;5500.0;⚠️ Pressão de demanda — subiu acima do IPCA
FIO DE NYLON PARA ROCADEIRA;2017;2021;3;0.79;48.0;5975.95;24.48;4794.44;⚠️ Pressão de demanda — subiu acima do IPCA
CITROEN AIRCROSS /C3 PICASSO GLX 1.6 16V FLEX 2013;2019;2022;4;1.0;57.0;5600.0;21.69;4608.33;⚠️ Pressão de demanda — subiu acima do IPCA
COLA INSTANTÂNEA;2018;2020;3;0.97;47.9;4838.14;9.02;4452.94;⚠️ Pressão de demanda — subiu acima do IPCA
HONDA NEW CIVIC (12 - ) LXR 2.0 16V I-VTEC FLEX AT 2016;2019;2022;4;1.0;55.0;5400.0;21.69;4444.05;⚠️ Pressão de demanda — subiu acima do IPCA
MANGUEIRA;2015;2020;6;5.02;266.22;5203.23;23.77;4184.73;⚠️ Pressão de demanda — subiu acima do IPCA
TOYOTA COROLLA XEI 2.0 FLEX 2018 - 2022;2019;2024;4;1.0;47.76;4676.25;33.47;3497.32;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT SIENA FASE IV EL 1.0 FIRE 8V FLEX 2014;2019;2023;5;1.0;40.45;3945.17;27.32;3093.85;⚠️ Pressão de demanda — subiu acima do IPCA
VW GOL IV GERAÇÃO G4 1.0 4P 1.0 MI AT FLEX 68/71CV 2011;2019;2023;5;1.0;40.42;3941.67;27.32;3091.07;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT PALIO FASE III 4P ATTRACTIVE 1.0MPI FIRE 8V FLEX 2017;2019;2023;5;1.0;40.33;3933.33;27.32;3084.72;⚠️ Pressão de demanda — subiu acima do IPCA
VW VIRTUS HL AD 4P 128CV 2019;2019;2023;5;1.0;40.33;3933.33;27.32;3084.52;⚠️ Pressão de demanda — subiu acima do IPCA
FORD KÁ SE 1.5 SD B 2018;2019;2023;5;1.0;40.29;3928.5;27.32;3080.75;⚠️ Pressão de demanda — subiu acima do IPCA
VW GOL TRENDLINE 1.6 8V FLEX 2017-2018;2019;2023;5;1.0;40.0;3900.0;27.32;3058.13;⚠️ Pressão de demanda — subiu acima do IPCA
PEUGEOT 207 HB ACTIVE 1.4 8V FLEX 2015;2019;2023;5;1.0;39.67;3866.67;27.32;3031.94;⚠️ Pressão de demanda — subiu acima do IPCA
EFFA CAMINHONETE C. FECHADA V21 2017;2019;2023;5;1.0;38.24;3724.17;27.32;2919.44;⚠️ Pressão de demanda — subiu acima do IPCA
RENAULT DUSTER 20 D 4X2A 2015;2019;2023;5;1.0;36.57;3557.14;27.32;2787.59;⚠️ Pressão de demanda — subiu acima do IPCA
VW GOL 1.6L MB5 4P (2019 - 2020);2019;2023;5;1.0;36.0;3500.0;27.32;2742.86;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT UNO (10 - ) 2P VIVACE 1.0 EVO FLEX 2014;2019;2023;3;1.0;35.0;3400.0;27.32;2663.1;⚠️ Pressão de demanda — subiu acima do IPCA
GM SPIN 1.8L MT LT 8V ECONO.FLEX 2014;2019;2021;3;1.0;31.44;3044.0;15.03;2647.62;⚠️ Pressão de demanda — subiu acima do IPCA
VW/15.190 EOD E.S.ORE (NACIONAL) 2012;2019;2021;3;1.0;31.44;3044.0;15.03;2647.38;⚠️ Pressão de demanda — subiu acima do IPCA
VW PARATI III GERAÇÃO 1.8 MI 1.8 MI AP GASOLINA 2002;2019;2021;3;1.0;31.24;3024.0;15.03;2630.0;⚠️ Pressão de demanda — subiu acima do IPCA
GARROTE TUBO LÁTEX NO. 202;2015;2021;4;1.33;48.5;3546.62;36.22;2576.69;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT DOBLO (02 - 09) CARGO 1.8MPI 8V FLEX 2009;2019;2021;3;1.0;29.5;2850.0;15.03;2478.57;⚠️ Pressão de demanda — subiu acima do IPCA
VW SPACEFOX (06 - 10) SPORTLINE 4P 1.6 TOTAL FLEX 2009;2019;2021;3;1.0;29.5;2850.0;15.03;2477.98;⚠️ Pressão de demanda — subiu acima do IPCA
HONDA NEW CIVIC (06 - 11) LXS 1.8 16V FLEX MT 2010;2019;2021;3;1.0;29.0;2800.0;15.03;2434.52;⚠️ Pressão de demanda — subiu acima do IPCA
SCANIA/T112 HW 4X2(NACIONAL) 1990;2019;2021;3;1.0;28.44;2744.0;15.03;2385.24;⚠️ Pressão de demanda — subiu acima do IPCA
CINTA PLASTICA 15CM X 2,5MM;2015;2017;3;0.08;1.99;2387.5;9.43;2175.0;⚠️ Pressão de demanda — subiu acima do IPCA
KIA K2500 LD (2009 - 2021);2019;2021;3;1.0;25.77;2477.17;15.03;2151.98;⚠️ Pressão de demanda — subiu acima do IPCA
SALAMINHO DEFUMADO;2018;2023;5;4.05;116.9;2786.42;32.8;2071.99;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT STRADA HD WORKING CC E GASOLINA 2017;2019;2025;7;1.0;27.5;2650.0;39.16;1886.9;⚠️ Pressão de demanda — subiu acima do IPCA
M.BENZ/L 1113(NACIONAL) 1978;2019;2024;6;1.0;25.6;2460.0;33.47;1828.57;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT PALIO FASE III 4P ATTRACTIVE 1.4MPI FIRE 8V FLEX 2011;2019;2021;3;1.0;22.0;2100.0;15.03;1822.62;⚠️ Pressão de demanda — subiu acima do IPCA
HONDA NEW CIVIC (12 - ) LXL 1.8 16V I-VTEC FLEX MT 2011;2019;2021;3;1.0;21.5;2050.0;15.03;1779.17;⚠️ Pressão de demanda — subiu acima do IPCA
FIAT PALIO FASE III 4P ELX 1.0MPI FIRE 8V FLEX 2007 - 2014;2019;2021;3;1.0;21.5;2050.0;15.03;1779.17;⚠️ Pressão de demanda — subiu acima do IPCA
MILHO VERDE EM CONSERVA;2018;2024;5;1.38;36.0;2508.7;39.22;1767.21;⚠️ Pressão de demanda — subiu acima do IPCA
AGUA MINERAL COM GÁS;2019;2021;3;1.85;34.8;1781.08;15.03;1537.82;⚠️ Pressão de demanda — subiu acima do IPCA
MANGUEIRA JARDIM 3/4 X 2,5MM;2015;2021;6;2.4;53.0;2108.33;36.22;1521.25;⚠️ Pressão de demanda — subiu acima do IPCA
AGUA MINERAL SEM GÁS;2019;2021;3;1.79;30.6;1609.5;15.03;1387.42;⚠️ Pressão de demanda — subiu acima do IPCA
CORRETIVO LIQUIDO;2017;2024;4;0.87;17.81;1947.13;44.44;1308.75;⚠️ Pressão de demanda — subiu acima do IPCA
GM SPIN 1.8L MT LTZ 8V ECONO.FLEX 2019;2019;2025;4;1.0;19.5;1850.0;39.16;1308.33;⚠️ Pressão de demanda — subiu acima do IPCA
REBITE ALUMÍNIO 4,0 X 10MM;2015;2021;6;0.02;0.38;1800.0;36.22;1300.0;⚠️ Pressão de demanda — subiu acima do IPCA
VW/14.140(NACIONAL) 1990;2019;2021;3;1.0;15.0;1400.0;15.03;1210.71;⚠️ Pressão de demanda — subiu acima do IPCA
TERMÔMETRO DIGITAL;2016;2018;3;11.0;148.62;1251.09;6.81;1164.83;⚠️ Pressão de demanda — subiu acima do IPCA
AGUA DE COCO 200ML;2015;2023;6;2.7;50.25;1761.11;50.77;1134.44;⚠️ Pressão de demanda — subiu acima do IPCA
REGISTRO TIPO GLOBO PARA GÁS GLP P45;2018;2021;3;34.51;496.6;1339.0;19.99;1099.21;⚠️ Pressão de demanda — subiu acima do IPCA
GM S-10 RODEIO 2.8 D 4X4 DIESEL 2011;2019;2025;7;1.0;16.25;1525.0;39.16;1073.81;⚠️ Pressão de demanda — subiu acima do IPCA
CONECTOR P/ HASTE TERRA - CABO 35MM;2015;2021;6;1.0;15.94;1494.0;36.22;1070.0;⚠️ Pressão de demanda — subiu acima do IPCA
GM S-10 LT DD4 2015;2019;2025;7;1.0;15.75;1475.0;39.16;1037.5;⚠️ Pressão de demanda — subiu acima do IPCA
IMPRESSORA.;2018;2020;3;130.09;1593.5;1124.92;9.02;1023.54;⚠️ Pressão de demanda — subiu acima do IPCA
TIRA DE LIXA DE POLIESTER 4X170MM PARA POLIMENTO DE RESTAURA;2020;2024;4;6.3;89.86;1326.35;27.7;1016.9;⚠️ Pressão de demanda — subiu acima do IPCA
ROLAMENTO;2017;2020;3;49.16;615.4;1151.83;13.1;1006.83;⚠️ Pressão de demanda — subiu acima do IPCA
CHOCOLATE EM PÓ;2018;2023;5;3.25;44.97;1283.69;32.8;943.01;⚠️ Pressão de demanda — subiu acima do IPCA
SACO DE LIXO 100L;2018;2021;3;3.0;37.3;1143.33;19.99;937.12;⚠️ Pressão de demanda — subiu acima do IPCA
ERVILHA EM CONSERVA;2015;2023;7;4.33;67.4;1456.58;50.77;932.33;⚠️ Pressão de demanda — subiu acima do IPCA
ROLO DE ELÁSTICO CORRENTE MÉDIO CINZA;2022;2025;3;3.27;37.55;1048.32;14.35;903.96;⚠️ Pressão de demanda — subiu acima do IPCA
VERNIZ FLUORETADO;2015;2025;8;10.09;165.65;1541.72;64.79;896.23;⚠️ Pressão de demanda — subiu acima do IPCA
AÇUCAR EM SACHÊ;2016;2023;7;3.49;48.35;1285.39;41.85;877.74;⚠️ Pressão de demanda — subiu acima do IPCA
IVECO CAMIN. FURGÃO DAILY 35S14 HDG FURGÃO 2018;2019;2025;7;1.0;13.25;1225.0;39.16;857.74;⚠️ Pressão de demanda — subiu acima do IPCA
CAIXA DE SOM;2016;2024;6;24.0;333.8;1290.83;48.71;835.3;⚠️ Pressão de demanda — subiu acima do IPCA
COLHER  GRANDE DE POLIETILENO,  COM NO MÍNIMO 40 CM;2019;2025;3;4.77;62.0;1199.79;39.16;833.5;⚠️ Pressão de demanda — subiu acima do IPCA
GRAFITE DE 0,7 MM PARA LAPISEIRA TIPO B;2018;2023;3;0.6;7.03;1071.67;32.8;779.25;⚠️ Pressão de demanda — subiu acima do IPCA
VW SAVEIRO ROBUST CAB. SIMPLES 1.6 8V FLEX 2018 - 2019;2019;2025;4;1.0;12.0;1100.0;39.16;766.67;⚠️ Pressão de demanda — subiu acima do IPCA
DESINFETANTE DE USO GERAL 5 LITROS.;2018;2024;6;5.2;62.63;1104.42;39.22;765.07;⚠️ Pressão de demanda — subiu acima do IPCA
M.BENZ/L 608 D(NACIONAL) 1983;2019;2025;7;1.0;11.75;1075.0;39.16;749.4;⚠️ Pressão de demanda — subiu acima do IPCA
TINTA ACRÍLICA PARA PISO DE QUADRA ESPORTIVA;2018;2021;3;24.95;252.0;910.02;19.99;741.63;⚠️ Pressão de demanda — subiu acima do IPCA
PASSA FITA;2017;2021;3;1.6;16.47;929.37;24.48;728.08;⚠️ Pressão de demanda — subiu acima do IPCA
GRAFITE DE 0,5 MM PARA LAPISEIRA TIPO B;2018;2023;3;0.6;6.59;998.33;32.8;724.53;⚠️ Pressão de demanda — subiu acima do IPCA
CLIPES PARA PAPEL N.º 1;2018;2021;4;1.1;10.85;886.36;19.99;721.65;⚠️ Pressão de demanda — subiu acima do IPCA
CLIPES PARA PAPÉIS N.º 3;2018;2020;3;1.1;9.76;787.27;9.02;713.4;⚠️ Pressão de demanda — subiu acima do IPCA
VW/24.250 CNC 6X2 (NACIONAL) 2008;2019;2025;7;1.0;11.25;1025.0;39.16;713.1;⚠️ Pressão de demanda — subiu acima do IPCA
FORD/CARGO 712 (NACIONAL) 2010;2019;2025;7;1.0;11.25;1025.0;39.16;713.1;⚠️ Pressão de demanda — subiu acima do IPCA
AGRALE/8500 TCA(NACIONAL) 2010;2019;2025;7;1.0;11.25;1025.0;39.16;713.1;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO ESGOTO EM PVC 100MM;2015;2021;6;5.0;55.1;1003.1;36.22;709.81;⚠️ Pressão de demanda — subiu acima do IPCA
IVECO MIC.ONIB. VAN DAILY 55C16 TCA 2018;2019;2025;6;1.0;11.0;1000.0;39.16;695.24;⚠️ Pressão de demanda — subiu acima do IPCA
BAQUETAS PARA BUMBO;2019;2025;4;19.0;203.8;972.63;39.16;671.01;⚠️ Pressão de demanda — subiu acima do IPCA
JEEP COMPASS LONGITUDE 2.0 TURBO DIESEL 4X4 2021;2021;2024;4;10.0;89.0;790.0;16.03;667.17;⚠️ Pressão de demanda — subiu acima do IPCA
JEEP RENEGADE (2019 A 2021) STD 1.8 16V FLEX AUT 2021;2021;2024;4;10.0;88.5;785.0;16.03;662.81;⚠️ Pressão de demanda — subiu acima do IPCA
ETIQUETA AUTO COLANTE Nº 20;2015;2018;4;10.5;90.9;765.71;13.53;662.57;⚠️ Pressão de demanda — subiu acima do IPCA
ETIQUETA AUTO COLANTE Nº 14;2015;2018;4;10.5;90.9;765.71;13.53;662.57;⚠️ Pressão de demanda — subiu acima do IPCA
SAPONÁCEO CREMOSO.;2016;2025;3;1.3;15.29;1076.15;55.04;660.66;⚠️ Pressão de demanda — subiu acima do IPCA
SOQUETE P/FL. ANTIVIB.;2016;2020;3;0.9;7.81;767.78;16.45;642.35;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL PARDO KRAFT;2015;2019;4;6.62;57.9;774.62;18.42;638.52;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO ESGOTO EM PVC  40MM;2015;2021;6;2.46;23.2;841.18;36.22;590.87;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL HIGIÊNICO.;2016;2023;3;4.99;48.8;877.96;41.85;590.19;⚠️ Pressão de demanda — subiu acima do IPCA
CONFECÇÃO DE ENVELOPE TAM. 36,5X25,4 - 1 COR.;2020;2024;4;0.25;2.14;756.0;27.7;575.0;⚠️ Pressão de demanda — subiu acima do IPCA
MOUSE;2016;2020;4;9.7;74.45;667.53;16.45;558.82;⚠️ Pressão de demanda — subiu acima do IPCA
JOELHO SOLDÁVEL 25 X 45º;2015;2021;6;0.3;2.6;766.67;36.22;535.0;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO SOLD. 20MM COM BOLSA ,BARRAS DE 6M EM PVC;2015;2021;6;1.74;14.75;747.7;36.22;522.41;⚠️ Pressão de demanda — subiu acima do IPCA
VALSARTANA 80MG CPR;2016;2019;3;0.32;2.19;587.46;11.41;516.67;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO ESGOTO EM PVC 50MM;2015;2021;6;3.85;32.3;738.96;36.22;515.84;⚠️ Pressão de demanda — subiu acima do IPCA
CAIXA DE SOM.;2019;2023;3;36.5;284.0;678.08;27.32;511.19;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO ESGOTO EM PVC 75MM;2015;2021;6;5.48;45.5;730.29;36.22;509.49;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO ESGOTO EM PVC 150MM;2015;2021;6;13.98;114.72;720.6;36.22;502.43;⚠️ Pressão de demanda — subiu acima do IPCA
TESOURA GRANDE 21CM;2016;2018;3;3.72;23.65;535.75;6.81;495.14;⚠️ Pressão de demanda — subiu acima do IPCA
MOLA;2017;2020;3;157.94;1053.5;567.03;13.1;489.75;⚠️ Pressão de demanda — subiu acima do IPCA
BOLA DE FUTEBOL DE CAMPO;2016;2023;4;26.0;217.4;736.15;41.85;489.49;⚠️ Pressão de demanda — subiu acima do IPCA
CORRETIVO LIQUIDO 18ML;2018;2023;4;2.3;17.86;676.52;32.8;483.74;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO DA VALVULA DE ESCAPE STERMAX;2021;2025;5;7.94;55.7;601.51;20.97;479.76;⚠️ Pressão de demanda — subiu acima do IPCA
PEPINO EM CONSERVA;2017;2024;8;4.7;39.0;729.79;44.44;475.06;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO ELETRODUTO PVC 1  PRETO    (BR 3M);2015;2018;4;1.59;10.36;551.89;13.53;474.21;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO SOLD. 25MM COM BOLSA ,BARRAS DE 6M EM PVC;2015;2021;6;2.09;16.35;682.3;36.22;474.16;⚠️ Pressão de demanda — subiu acima do IPCA
PÁ DE LIXO PLÁSTICA;2015;2023;4;2.3;19.75;758.7;50.77;469.57;⚠️ Pressão de demanda — subiu acima do IPCA
BOLA DE BASQUETE;2017;2024;4;18.4;149.0;709.78;44.44;460.8;⚠️ Pressão de demanda — subiu acima do IPCA
COCO EM FLOCOS;2018;2024;5;5.3;41.0;673.58;39.22;455.46;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO SOLD. 60MM COM BOLSA ,BARRAS DE 6M EM PVC;2015;2021;6;8.98;67.4;650.56;36.22;451.0;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO SOLD. 50MM COM BOLSA ,BARRAS DE 6M EM PVC;2015;2021;6;6.95;52.0;648.2;36.22;449.21;⚠️ Pressão de demanda — subiu acima do IPCA
ENVELOPES DE POLIETILENO;2018;2021;4;15.3;100.0;553.59;19.99;444.58;⚠️ Pressão de demanda — subiu acima do IPCA
BACIA GRANDE;2016;2023;4;5.6;42.74;663.21;41.85;437.95;⚠️ Pressão de demanda — subiu acima do IPCA
FECHADURA DE ALAVANCA PARA PORTA DE VIDRO - MODELO 1520MC;2021;2024;3;71.21;443.31;522.55;16.03;436.58;⚠️ Pressão de demanda — subiu acima do IPCA
RÉGUA ENDODONTICA MILIMETRADA CALIBRADORA - INDICADA PARA CA;2020;2025;5;49.0;350.0;614.29;33.14;436.47;⚠️ Pressão de demanda — subiu acima do IPCA
NISSAN FRONTIER II (09 - ) XE 4X4 2.5 TURBO-DIESEL 174CV;2017;2020;3;12.0;70.5;487.5;13.1;419.28;⚠️ Pressão de demanda — subiu acima do IPCA
ALFACE CRESPA .;2019;2025;4;2.14;15.44;621.5;39.16;417.68;⚠️ Pressão de demanda — subiu acima do IPCA
CONFECÇÃO DE FOLDERS EM PAPEL COUCHE 150GR, TAM A4 COM 2 DOB;2020;2022;3;0.21;1.27;504.71;16.43;417.65;⚠️ Pressão de demanda — subiu acima do IPCA
