mes;nome_mes;trimestre;qtd_licitacoes;pct_do_total;valor_total;valor_medio
1.0;Janeiro;Q1 (Jan-Mar);6216;5.6;250046075.43;40226.2
2.0;Fevereiro;Q1 (Jan-Mar);8306;7.5;192224851.05;23142.89
3.0;Março;Q1 (Jan-Mar);8947;8.1;264541294.67;29567.6
4.0;Abril;Q2 (Abr-Jun);9750;8.8;354630481.61;36372.36
5.0;Maio;Q2 (Abr-Jun);12418;11.2;224077755.0;18044.59
6.0;Junho;Q2 (Abr-Jun);10773;9.8;263710895.29;24478.87
7.0;Julho;Q3 (Jul-Set);13641;12.4;240058087.88;17598.28
8.0;Agosto;Q3 (Jul-Set);7211;6.5;258039419.0;35784.14
9.0;Setembro;Q3 (Jul-Set);5696;5.2;365155302.0;64107.32
10.0;Outubro;Q4 (Out-Dez);7095;6.4;269928217.96;38044.85
11.0;Novembro;Q4 (Out-Dez);7890;7.1;191387437.5;24256.96
12.0;Dezembro;Q4 (Out-Dez);12452;11.3;396846121.42;31870.07
